"Название журнала","Специализация","Дата включения в реестр"
"Вестник Воронежского государственного технического университета","01.04.00 – физика;
05.02.00 – машиностроение и машиноведение;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика.",2015-12-29
"Вестник Казанского государственного энергетического университета","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
13.00.00 – педагогические науки.",2015-12-29
"Сибирский философский журнал
(До 05.04.2017 г. наименование в Перечне Вестник Новосибирского государственного университета.
Серия: Философия)","09.00.00 – философские науки;22.00.00 – социологические науки.",2015-12-29
"Вестник РГГУ. Серия
Документоведение и архивоведение. Информатика. Защита информации и информационная безопасность","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация.",2015-12-29
"Вестник РГГУ. Серия Философия. Социология. Искусствоведение","22.00.00 – социологические науки;
09.00.00 – философские науки;
17.00.00 – искусствоведение.",2015-12-29
"Вестник Санкт-Петербургского государственного университета гражданской авиации","05.22.00 – транспорт;
05.07.00 – авиационная и ракетно- космическая техника;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Вестник транспорта Поволжья","01.01.00 – математика;
01.02.00 – механика;
05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт.",2015-12-29
"Вестник Тюменского государственного университета. Социально-экономические и правовые исследования","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-29
"Вопросы статистики","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-29
"Доклады Академии наук высшей школы Российской Федерации","01.04.00 – физика;
05.09.00 – электротехника;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2015-12-29
"Железнодорожный транспорт","05.02.00 – машиностроение и машиноведение;
05.05.00 – транспортное, горное и строительное машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
08.00.00 – экономические науки.",2015-12-29
"Журнал исследований социальной политики","08.00.00 – экономические науки;23.00.00 – политология;22.00.00 – социологические науки.",2015-12-29
"Защита информации. Инсайд","05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация;
05.26.00 – безопасность деятельности человека.",2015-12-29
"Известия Петербургского университета путей сообщения / Proceedings of Petersburg Transport University","05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
05.23.00 – строительство и архитектура;",2015-12-29
"Известия Транссиба","05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
05.22.00 – транспорт.",2015-12-29
"Инженерная физика","01.04.00 – физика;
05.07.00 – авиационная и ракетно- космическая техника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
25.00.00 – науки о Земле.",2015-12-29
"Инновационная деятельность","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-29
"Инфокоммуникационные технологии","01.04.00 – физика;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Информационные технологии в проектировании и производстве","01.01.00 – математика;
05.01.00 – инженерная геометрия и компьютерная графика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Информационные технологии и вычислительные системы","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Компьютерные инструменты в образовании","05.13.00 – информатика, вычислительная техника и управление;
13.00.00 – педагогические науки.",2015-12-29
"Конфликтология","23.00.00 – политология;
09.00.00 – философские науки;
22.00.00 – социологические науки.",2015-12-29
"Математическое моделирование и численные методы","01.01.00 – математика;
01.02.00 – механика;
05.07.00 – авиационная и ракетно- космическая техника;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Медицина и высокие технологии","01.02.00 – механика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
14.01.00 – клиническая медицина;
14.03.00 – медико-биологические науки.",2015-12-29
"Международное научное издание
Современные фундаментальные и прикладные исследования / International scientific periodical
Modern fundamental and applied researches","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.26.00 – безопасность деятельности человека;
08.00.00 – экономические науки;
12.00.00 – юридические науки.",2015-12-29
"Местное право","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-29
"Мир России. Социология. Этнология","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-29
"Модели, системы, сети в экономике, технике, природе и обществе","05.02.00 – машиностроение и машиноведение;
05.09.00 – электротехника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки.",2015-12-29
"Моделирование и анализ информационных систем","01.01.00 – математика;
01.02.00 – механика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"МОРСКИЕ ИНТЕЛЛЕКТУАЛЬНЫЕ ТЕХНОЛОГИИ","05.08.00 – кораблестроение;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Научное обозрение. Серия 2. Гуманитарные науки","19.00.00 – психологические науки;13.00.00 – педагогические науки;22.00.00 – социологические науки.",2015-12-29
"Ойкумена. Регионоведческие исследования: научно-теоретический журнал","07.00.00 – исторические науки и археология;
23.00.00 – политология;
22.00.00 – социологические науки.",2015-12-29
"Омский научный вестник","05.02.00 – машиностроение и машиноведение;
05.09.00 – электротехника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика.",2015-12-29
"ПОЛИС. Политические исследования","23.00.00 – политология;
22.00.00 – социологические науки.",2015-12-29
"ПОЛИТИЯ. Журнал политической философии и социологии политики","23.00.00 – политология;
22.00.00 – социологические науки;
09.00.00 – философские науки.",2015-12-29
"Предпринимательство","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-29
"Проблемы теории и практики управления","05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки.",2015-12-29
"Проблемы управления/Control Sciences","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки.",2015-12-29
"Промышленные АСУ и контроллеры","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Релейная защита и автоматизация","05.04.00  – энергетическое, металлургическое и химическое машиностроение;05.09.00  – электротехника;05.12.00 – радиотехника и связь;05.13.00 – информатика, вычислительная техника и управление;05.14.00 – энергетика.",2015-12-29
"Речной транспорт (ХХI век)","05.08.00 – кораблестроение;
05.09.00 – электротехника;
05.13.00 – информатика, вычислительная техника и управление;",2015-12-29
"Системный администратор","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Современная наука и инновации","05.13.00 – информатика, вычислительная техника и управление;
05.18.00 – технология продовольственных продуктов;
05.23.00 – строительство и архитектура;
14.03.00 – медико-биологические науки;
23.00.00 – политология.",2015-12-29
"Современные исследования социальных проблем (электронный журнал)","19.00.00 – психологические науки;13.00.00 – педагогические науки;22.00.00 – социологические науки.",2015-12-29
"Социально-гуманитарные знания","23.00.00 – политология;
09.00.00 – философские науки;
22.00.00 – социологические науки.",2015-12-29
"Социальные и гуманитарные знания","08.00.00 – экономические науки;
10.01.00 – литературоведение;
10.02.00 – языкознание;
22.00.00 – социологические науки.",2015-12-29
"Социология города","05.23.00 – строительство и архитектура;
05.26.00 – безопасность деятельности человека;
22.00.00 – социологические науки;",2015-12-29
"Специальная техника","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Строительная механика и расчет сооружений","01.02.00 – механика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Технологии сейсморазведки","01.01.00 – математика;
01.04.00 – физика;
05.13.00 – информатика, вычислительная техника и управление;
05.24.00 – геодезия;",2015-12-29
"Технология машиностроения","05.02.00 – машиностроение и машиноведение;
05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 – металлургия и материаловедение.",2015-12-29
"ТРУДЫ МФТИ - Труды Московского физико-технического института (государственного университета)","01.01.00 – математика;
01.02.00 – механика;
01.04.00 – физика;
03.01.00 – физико-химическая биология;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Труды НИИР","05.12.00 – радиотехника и связь;05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Труды Российского государственного университета нефти и газа имени И.М. Губкина","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.17.00 – химическая технология;
02.00.00 – химические науки;
25.00.00 – науки о Земле.",2015-12-29
"Управление проектами и программами","05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки.",2015-12-29
"Физические основы приборостроения","01.01.00 – математика;
01.04.00 – физика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-29
"Человек. Общество. Инклюзия","09.00.00 – философские науки;22.00.00 – социологические науки.",2015-12-29
,"08.00.00 – экономические науки;22.00.00 – социологические науки;09.00.00 – философские науки.","29.02.2016*"
"Эксплуатация морского транспорта","05.08.00 – кораблестроение;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт.",2015-12-29
"ЭЛЕКТРО. Электротехника, электроэнергетика, электротехническая промышленность","05.09.00 – электротехника;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика.",2015-12-29
"Автоматика, связь, информатика","05.09.00 – электротехника;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
05.27.00 – электроника.",2016-01-27
"Вопросы безопасности","05.13.00 – информатика, вычислительная техника и управление;
05.26.00 – безопасность деятельности человека;
12.00.00 – юридические науки;
23.00.00 – политология.",2016-01-27
"ВОПРОСЫ ОБОРОННОЙ
ТЕХНИКИ. Научно–технический журнал. Серия 16. Технические средства противодействия терроризму","01.02.00 – механика;
05.02.00 – машиностроение и машиноведение;
05.07.00 – авиационная и ракетно- космическая техника;
05.13.00 – информатика, вычислительная техника и управление;
20.00.00 – военные науки.",2016-01-27
"Вопросы радиоэлектроники, серия Техника телевидения","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2016-01-27
"Гуманитарные, социально- экономические и общественные науки / HUMANITIES, SOCIAL- ECONOMIC AND SOCIAL SCIENCES","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2016-01-27
"Дискурс","09.00.00 – философские науки;
08.00.00 – экономические науки;
22.00.00 – социологические науки.",2016-01-27
"Дистанционное и виртуальное обучение","05.13.00 – информатика, вычислительная техника и управление.",2016-01-27
"Известия Казанского государственного архитектурно- строительного университета","05.13.00 – информатика, вычислительная техника и управление;05.23.00 – строительство и архитектура",2016-01-27
"Интеллектуальные системы. Теория и приложения","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление.",2016-01-27
"Интернет-журнал Науковедение","05.02.00 – машиностроение и машиноведение;
05.05.00 – транспортное, горное и строительное машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
05.23.00 – строительство и архитектура;
08.00.00 – экономические науки.",2016-01-27
"Кибернетика и программирование","01.01.00 – математика;
05.01.00 -  инженерная геометрия и компьютерная графика;
05.13.00 – информатика, вычислительная техника и управление.",2016-01-27
"Мониторинг общественного мнения: экономические и социальные перемены","22.00.00 – социологические науки.",2016-01-27
"Наука и бизнес: пути развития","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.23.00 - архитектура и строительство;
08.00.00 – экономические науки.",2016-01-27
"Научно-аналитический журнал
Вестник Санкт-Петербургского университета Государственной противопожарной службы МЧС России","05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация;
05.26.00 – безопасность деятельности человека;
19.00.00 – психологические науки;
13.00.00 – педагогические науки.",2016-01-27
"Общество и экономика","08.00.00 – экономические науки;23.00.00 – политология;22.00.00 – социологические науки.",2016-01-27
"Прикаспийский журнал: управление и высокие технологии","01.01.00 – математика;
01.04.00 – физика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки.",2016-01-27
"Системный анализ и управление в биомедицинских системах","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
14.01.00 – клиническая медицина;
14.02.00 – профилактическая медицина.",2016-01-27
"Социодинамика","23.00.00 – политология;
09.00.00 – философские науки;
22.00.00 – социологические науки.",2016-01-27
"Социологическое обозрение","23.00.00 – политология;
22.00.00 – социологические науки;
09.00.00 – философские науки.",2016-01-27
"Социология: методология, методы, математическое моделирование","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление;
22.00.00 – социологические науки.",2016-01-27
"Теоретическая и прикладная экономика","08.00.00 – экономические науки;23.00.00 – политология;22.00.00 – социологические науки.",2016-01-27
"Урбанистика","05.23.00 – строительство и архитектура;
24.00.00 – культурология;
22.00.00 – социологические науки.",2016-01-27
"Экономическая социология","22.00.00 – социологические науки.",2016-01-27
"АгроЭкоИнфо: Электронный научно-производственный журнал","03.02.00 – общая биология;
05.13.00 – информатика, вычислительная техника и управление;
05.20.00 – процессы и машины агроинженерных систем;
06.01.00 – агрономия;
06.02.00 – ветеринария и зоотехния.",2016-02-02
"Бюллетень транспортной информации","05.05.00 – транспортное, горное и строительное машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
08.00.00 – экономические науки.",2016-02-02
"Вестник Новосибирского государственного университета. Серия: Информационные технологии","03.01.00 – физико-химическая биология;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация;
25.00.00 – науки о Земле.",2016-02-02
,"05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",
"ПЕРВАЯ МИЛЯ LAST MILE","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2016-02-02
"Сборник трудов Всероссийской научно-технической конференции
Проблемы разработки перспективных микро-
и наноэлектронных систем","05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2016-02-02
"Техника радиосвязи","01.04.00 – физика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2016-02-02
"Технологии техносферной безопасности: Интернет-журнал","05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.26.00 – безопасность деятельности человека.",2016-02-02
"Технологии электромагнитной совместимости","05.12.00 – радиотехника и связь;05.13.00 – информатика, вычислительная техника и управление.",2016-02-02
"Труды МАИ","01.02.00 – механика;
05.07.00 – авиационная и ракетно- космическая техника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2016-02-02
"Управление большими системами","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки.",2016-02-02
"ЭЛЕКТРОНИКА:
Наука, Технология, Бизнес","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2016-02-02
"Электротехнические системы и комплексы","05.09.00 – электротехника;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика.",2016-02-02
"Государственное управление. Электронный вестник (E-journal
Public Administration)","08.00.00 – экономические науки;23.00.00 – политология;22.00.00 – социологические науки.",2016-02-09
"Перспективы науки","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.23.00 – строительство и архитектура;
08.00.00 – экономические науки;
13.00.00 – педагогические науки.",2016-02-09
"Сервис в России и за рубежом","08.00.00 – экономические науки;22.00.00 – социологические науки.",2016-02-09
"AUDITORIUM","03.01.00 – физико-химическая биология;
03.02.00 – общая биология;
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 – металлургия и материаловедение;
02.00.00 – химические науки.",2016-02-29
"Вопросы защиты информации – научно-практический журнал","01.01.00 – математика;
05.01.00 – инженерная геометрия и компьютерная графика;
05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация.",2016-02-29
"Вычислительные методы и программирование: Новые вычислительные технологии (Электронный научный журнал)","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление.",2016-02-29
"Проблемы управления рисками в техносфере","05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация;
05.26.00 – безопасность деятельности человека;
19.00.00 – психологические науки;
13.00.00 – педагогические науки.",2016-02-29
"International Journal of Advanced Studies (Международный журнал перспективных исследований)","05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
05.23.00 – строительство и архитектура;
08.00.00 – экономические науки;
13.00.00 – педагогические науки.",2016-02-29
"Известия Тульского государственного университета. Гуманитарные науки","23.00.00 – политология;
22.00.00 – социологические науки;
09.00.00 – философские науки.",2016-02-29
"Авиакосмическое приборостроение","05.07.00 – авиационная и ракетно- космическая техника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2016-03-18
"Вестник Самарского государственного технического университета. Серия Технические науки","05.09.00 – электроника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика,",2016-03-18
"Инженерный вестник Дона","01.04.00 – физика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.23.00 – строительство и архитектура.",2016-03-18
"International Journal of Open Information Technologies","01.01.00 – математика;
05.12.00 – радиотехника и связь;
05.13.00 – информатика.",2016-03-18
"ИННОВАЦИИ В ЖИЗНЬ
Международный научный журнал","05.13.00 – информатика, вычислительная техника и управление;
05.23.00 – строительство и архитектура;
08.00.00 – экономические науки;
13.00.00 – педагогические науки.",2016-04-19
"ТАДЖИКИСТАН и современный мир","08.00.00 – экономические науки;23.00.00 – политология;22.00.00 – социологические науки.",2016-06-03
"Миссия конфессий","09.00.00 – философские науки;
24.00.00 – культурология;
22.00.00 – социологические науки.",2016-10-18
"Вестник Российской нации","07.00.00 – исторические науки и археология;22.00.00 – социологические науки;23.00.00 – политология",2016-10-18
"Вестник Концерна ВКО
Алмаз - Антей
(До 14.03.2017 г. наименование в Перечне Вестник Концерна ПВО
Алмаз - Антей)","05.02.00 – машиностроение и машиноведение;
05.07.00 – авиационная и ракетно- космическая техника;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и",2016-10-18
