"Название журнала","Специализация","Дата включения в реестр"
"Вестник НГИЭИ","05.02.00 – машиностроение и машиноведение;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.20.00 – процессы и машины агроинженерных систем;
08.00.00 – экономические науки.",2015-12-01
"Вестник НГУЭУ","08.00.00 – экономические науки;
05.25.00 – документальная информация;
22.00.00 – социологические науки.",2015-12-01
"Вестник Нижегородского университета
им. Н.И. Лобачевского. Серия: Социальные науки","08.00.00 – экономические науки;
13.00.00 – педагогические науки;
22.00.00 – социологические науки.",2015-12-01
"Мир экономики и управления
(До 27.01.2017 г. наименование в Перечне Вестник Новосибирского государственного университета.
Серия: Социально-экономические науки)","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-01
"Вестник Новосибирского государственного университета. Серия: Физика","01.04.00 – физика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Пермского национального исследовательского политехнического университета.
Социально-экономические науки","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-01
"Вестник Пермского университета. Философия. Психология. Социология","22.00.00 – социологические науки;
09.00.00 – философские науки;
19.00.00 – психологические науки.",2015-12-01
"Вестник Поволжского государственного технологического университета. Серия
Радиотехнические и инфокоммуникационные системы","01.04.00 – физика;
05.12.00  –  радиотехника и связь;
05.13.00 –  информатика, вычислительная техника и управление;
05.27.00 – электроника",2015-12-01
"Вестник Поволжского института управления","12.00.00 – юридические науки;
22.00.00 – социологические науки;
23.00.00 – политология.",2015-12-01
"Вестник РГАТА имени П.А. Соловьева","01.02.00 – механика;
05.02.00 – машиностроение и машиноведение;
05.07.00 – авиационная и ракето- космическая техника;
05.16.00 – металлургия и материаловедение;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Российского университета дружбы народов.
Серия Математика. Информатика. Физика","01.01.00 – математика;
01.02.00 – механика;
01.04.00 – физика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Российского университета дружбы народов.
Серия Социология","09.00.00 – философские науки;
22.00.00 – социологические науки;
23.00.00 – политология",2015-12-01
"Вестник Ростовского государственного университета путей сообщения","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт.",2015-12-01
"Вестник Рязанского государственного радиотехнического университета","01.04.00 – физика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2015-12-01
"Вестник Самарского университета. Аэрокосмическая техника, технологии и машиностроение
(До 30.12.2016 г. наименование в Перечне Вестник Самарского государственного аэрокосмического университета имени академика С.П. Королева (национального исследовательского университета))","01.02.00 – механика;
01.04.00 – физика;
05.02.00 – машиностроение и машиноведение;
05.07.00 – авиационная и ракетно- космическая техника.
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Самарского государственного технического университета. Серия ""Физико- математические науки""","01.01.00 – математика;
01.02.00 – механика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Самарского муниципального института управления","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-01
"Вестник Санкт-Петербургского государственного университета технологии и дизайна. Серия 1. Естественные и технические науки","01.02.00 – механика;
05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
02.00.00 – химические науки.",2015-12-01
"Вестник Санкт-Петербургского университета. Серия 10. Прикладная математика. Информатика. Процессы управления","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Санкт-Петербургского университета. Серия 12. Психология. Социология. Педагогика","13.00.00 – педагогические науки;19.00.00 – психологические науки;22.00.00 – социологические науки.",2015-12-01
